Name,RelativePath,DVFS,Note,ContentSubcategory,Timeout,Core_Atom,Core_Big,Core_KL
DR28-0Demo-1C0000E1,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-ISA-1C000236,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-MEM-1C000237,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-MSR-1C000238,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-MUC-1C000239,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-P23-1C00023A,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-RNG-1C00023B,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-TPU-1C00023C,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-TSC-1C00023D,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0Sanity-VMX-1C00023E,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0SanityPR-P-1C000240,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DR28-0SanityPR-V-1C00023F,ARL8B32A,FALSE,Regular,R,18,TRUE,TRUE,Don't Care
DH28-0Demo-1C1000F4,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-ISA-1C10023B,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-MEM-1C10023C,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-MSR-1C10023D,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-MUC-1C10023E,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-P23-1C10023F,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-RNG-1C100240,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-TPU-1C100241,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-TSC-1C100242,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0Sanity-VMX-1C100243,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0SanityPR-P-1C100244,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-0SanityPR-V-1C100245,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-1Aught-B7AY-1C10000F,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
