2024-12-03 15:13:53.378 [Information] AguilaContentManagement was signaled to launch in "create-content" mode.
2024-12-03 15:13:53.394 [Information] Argument "--OutputContentFile"="C:\CMV_TP\CMV_TP1\Shared\Common\Test_Program_Content\NewContentFile.content"
2024-12-03 15:13:53.394 [Information] Argument "<CommonDirectory>"="C:\CMV_TP\CMV_TP1\Shared\Common"
2024-12-03 15:13:59.514 [Information] CSV File [C:\CGEM_CMV_TP\CMV_ARL8B32A_Search.csv] to import was indentified as: Legacy format.
2024-12-03 15:14:10.401 [Information] Parsing C:\CMV_TP\CMV_TP1\Shared\Common\Product_Features.usrv ...
2024-12-03 15:14:10.460 [Information] Parsing C:\CMV_TP\CMV_TP1\Shared\Common\Test_Operations.usrv ...
2024-12-03 15:14:10.498 [Information] No UserVars 'ContentFamilies' were extracted because the file does not exists. File path: [C:\CMV_TP\CMV_TP1\Shared\Common\ContentFamilies.usrv].
2024-12-03 15:14:10.651 [Information] Input file: C:\CGEM_CMV_TP\CMV_ARL8B32A_Search.csv
2024-12-03 15:14:10.651 [Information] Output file: C:\CMV_TP\CMV_TP1\Shared\Common\Test_Program_Content\CMV_ARL8B32A_Search.content
2024-12-03 15:14:10.651 [Information] Importing Aguila Content CSV from file 'C:\CGEM_CMV_TP\CMV_ARL8B32A_Search.csv'...
2024-12-03 15:14:10.832 [Warning] Content seed Name 'DH28-1Aught-B7AY-1C10000F' contains invalid characters and has been automatically converted to 'DH28_1Aught_B7AY_1C10000F'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1Charyb-BMG-1C1000F1' contains invalid characters and has been automatically converted to 'DH28_1Charyb_BMG_1C1000F1'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1Charyb-BFX-1C1000F2' contains invalid characters and has been automatically converted to 'DH28_1Charyb_BFX_1C1000F2'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1Charyb-BFY-1C1000F3' contains invalid characters and has been automatically converted to 'DH28_1Charyb_BFY_1C1000F3'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1DittoC-GX-1C100113' contains invalid characters and has been automatically converted to 'DH28_1DittoC_GX_1C100113'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1Eclipse-1C100123' contains invalid characters and has been automatically converted to 'DH28_1Eclipse_1C100123'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1FireC-Y-1C100124' contains invalid characters and has been automatically converted to 'DH28_1FireC_Y_1C100124'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1FireC-X-1C100125' contains invalid characters and has been automatically converted to 'DH28_1FireC_X_1C100125'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1Fissure-M-1C100135' contains invalid characters and has been automatically converted to 'DH28_1Fissure_M_1C100135'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1FrenzyC-Y-1C100182' contains invalid characters and has been automatically converted to 'DH28_1FrenzyC_Y_1C100182'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1FrenzyC-X-1C100181' contains invalid characters and has been automatically converted to 'DH28_1FrenzyC_X_1C100181'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1FRMC-Y-1C1001BF' contains invalid characters and has been automatically converted to 'DH28_1FRMC_Y_1C1001BF'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1Geode-RF-1C1001CF' contains invalid characters and has been automatically converted to 'DH28_1Geode_RF_1C1001CF'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1LeekC-Y-1C1001E0' contains invalid characters and has been automatically converted to 'DH28_1LeekC_Y_1C1001E0'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-1LeekC-X-1C1001DF' contains invalid characters and has been automatically converted to 'DH28_1LeekC_X_1C1001DF'
2024-12-03 15:14:10.833 [Warning] Content seed Name 'DH28-Aes-DY-1C100000' contains invalid characters and has been automatically converted to 'DH28_Aes_DY_1C100000'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-X1J-1C100010' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100010'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100011' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100011'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-A1J-1C100012' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100012'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-X1J-1C100013' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100013'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100014' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100014'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-A1J-1C100015' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100015'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-A1J-1C100016' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100016'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-A1J-1C100017' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100017'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100018' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100018'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-X1J-1C100019' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100019'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-A1J-1C10001A' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10001A'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-A1J-1C10001B' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10001B'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-Y1J-1C10001C' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C10001C'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-Y1J-1C10001D' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C10001D'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Blender-A1J-1C10001E' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10001E'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Ditto-GCAG-1C1000F6' contains invalid characters and has been automatically converted to 'DH28_Ditto_GCAG_1C1000F6'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Ditto-SCCG-1C1000F5' contains invalid characters and has been automatically converted to 'DH28_Ditto_SCCG_1C1000F5'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-DittoMT-CG-1C100114' contains invalid characters and has been automatically converted to 'DH28_DittoMT_CG_1C100114'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Fireworx-Y-1C100126' contains invalid characters and has been automatically converted to 'DH28_Fireworx_Y_1C100126'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Flipper-1C100136' contains invalid characters and has been automatically converted to 'DH28_Flipper_1C100136'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Frenzy-Y-1C100148' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C100148'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Frenzy-Y-1C100145' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C100145'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Frenzy-Y-1C100146' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C100146'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-Frenzy-X-1C100147' contains invalid characters and has been automatically converted to 'DH28_Frenzy_X_1C100147'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-FRM-AddSY-1C100184' contains invalid characters and has been automatically converted to 'DH28_FRM_AddSY_1C100184'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-FRM-DivSY-1C100185' contains invalid characters and has been automatically converted to 'DH28_FRM_DivSY_1C100185'
2024-12-03 15:14:10.834 [Warning] Content seed Name 'DH28-FRM-MMulHSY-1C100186' contains invalid characters and has been automatically converted to 'DH28_FRM_MMulHSY_1C100186'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-FRM-ScatrSY-1C100183' contains invalid characters and has been automatically converted to 'DH28_FRM_ScatrSY_1C100183'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Fuso-1C1001C0' contains invalid characters and has been automatically converted to 'DH28_Fuso_1C1001C0'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Kawachi-1C1001D0' contains invalid characters and has been automatically converted to 'DH28_Kawachi_1C1001D0'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-LeekSpin-Y-1C1001E2' contains invalid characters and has been automatically converted to 'DH28_LeekSpin_Y_1C1001E2'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-LeekSpin-X-1C1001E1' contains invalid characters and has been automatically converted to 'DH28_LeekSpin_X_1C1001E1'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Millet-RG-1C1001FF' contains invalid characters and has been automatically converted to 'DH28_Millet_RG_1C1001FF'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Oakley-LegX-1C10020E' contains invalid characters and has been automatically converted to 'DH28_Oakley_LegX_1C10020E'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-PlusOne-Mhd-1C10022C' contains invalid characters and has been automatically converted to 'DH28_PlusOne_Mhd_1C10022C'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Satsuma-Y-1C100246' contains invalid characters and has been automatically converted to 'DH28_Satsuma_Y_1C100246'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Scylla-BMG-1C100258' contains invalid characters and has been automatically converted to 'DH28_Scylla_BMG_1C100258'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Scylla-SBFX-1C100255' contains invalid characters and has been automatically converted to 'DH28_Scylla_SBFX_1C100255'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Scylla-BFY-1C100256' contains invalid characters and has been automatically converted to 'DH28_Scylla_BFY_1C100256'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Scylla-SBFY-1C100257' contains invalid characters and has been automatically converted to 'DH28_Scylla_SBFY_1C100257'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Skipper-Y-1C100291' contains invalid characters and has been automatically converted to 'DH28_Skipper_Y_1C100291'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Twiddle-Y-1C1002A0' contains invalid characters and has been automatically converted to 'DH28_Twiddle_Y_1C1002A0'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Yakko-PdY-1C1002B0' contains invalid characters and has been automatically converted to 'DH28_Yakko_PdY_1C1002B0'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Yakko-MsY-1C1002AF' contains invalid characters and has been automatically converted to 'DH28_Yakko_MsY_1C1002AF'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Aes-FY-1C100001' contains invalid characters and has been automatically converted to 'DH28_Aes_FY_1C100001'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C10001F' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10001F'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100020' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100020'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C100021' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100021'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C100022' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100022'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C100023' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100023'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100024' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100024'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-X1J-1C100025' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100025'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C100026' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100026'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C100027' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100027'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C100028' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100028'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100029' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100029'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-X1J-1C10002A' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C10002A'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-X1J-1C10002B' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C10002B'
2024-12-03 15:14:10.835 [Warning] Content seed Name 'DH28-Blender-A1J-1C10002C' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10002C'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Blender-Y1J-1C10002D' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C10002D'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Ditto-OZAG-1C1000F8' contains invalid characters and has been automatically converted to 'DH28_Ditto_OZAG_1C1000F8'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Ditto-GCCG-1C1000F7' contains invalid characters and has been automatically converted to 'DH28_Ditto_GCCG_1C1000F7'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-DittoMT-CG-1C100115' contains invalid characters and has been automatically converted to 'DH28_DittoMT_CG_1C100115'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Fireworx-Y-1C100127' contains invalid characters and has been automatically converted to 'DH28_Fireworx_Y_1C100127'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Flipper-1C100137' contains invalid characters and has been automatically converted to 'DH28_Flipper_1C100137'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-Y-1C10014C' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C10014C'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-Y-1C100149' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C100149'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-Y-1C10014A' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C10014A'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-X-1C10014B' contains invalid characters and has been automatically converted to 'DH28_Frenzy_X_1C10014B'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-FRM-CMultDY-1C100188' contains invalid characters and has been automatically converted to 'DH28_FRM_CMultDY_1C100188'
